NDCInnerID	UseUnitLabeler	UseUnitProduct	UseUnitPackage	UseUnitPropName	UseUnitGenericName	UseUnitLabelerName	UseUnitstartDate	UseUnitEndDate	UseUnitGTIN	CVX Code	CVX Short Description	NoInner	NDC11	last_updated_date	GTIN
341	0006	4963	01	ZOSTAVAX	ZOSTER VACCINE LIVE	Merck Sharp & Dohme Corp.	20060525			121	zoster	FALSE	00006-4963-01	19-Nov-14	00300064963014
342	0006	4981	01	RECOMBIVAX HB	HEPATITIS B VACCINE (RECOMBINANT)	Merck Sharp & Dohme Corp.	19860723			08	"Hep B, adolescent or pediatric"	FALSE	00006-4981-01	19-Nov-14	00300064981018
343	0006	4992	01	RECOMBIVAX HB	HEPATITIS B VACCINE (RECOMBINANT)	Merck Sharp & Dohme Corp.	19860723			44	"Hep B, dialysis"	FALSE	00006-4992-01	27-Jan-14	
344	0006	4995	01	RECOMBIVAX HB	HEPATITIS B VACCINE (RECOMBINANT)	Merck Sharp & Dohme Corp.	19860723			43	"Hep B, adult"	FALSE	00006-4995-01	19-Nov-14	00300064995015
345	0052	0603	01	BCG VACCINE	BACILLUS CALMETTE-GUERIN SUBSTRAIN TICE LIVE ANTIGEN	Organon Pharmaceuticals USA	19890621			19	BCG	FALSE	00052-0603-01	27-Jan-14	
346	19515	889	02	FLULAVAL	INFLUENZA VIRUS VACCINE	ID Biomedical Corporation of Quebec	20120720	20130701		141	"Influenza, seasonal, injectable"	FALSE	19515-0889-02	27-Jan-14	
347	19515	890	02	FLULAVAL	INFLUENZA VIRUS VACCINE	ID Biomedical Corporation of Quebec	20130701	20140630		141	"Influenza, seasonal, injectable"	FALSE	19515-0890-02	22-Jul-14	
348	19515	895	01	Flulaval Quadrivalent	INFLUENZA VIRUS VACCINE	ID Biomedical Corporation of Quebec	20130815	20140630		150	"influenza, injectable, quadrivalent, preservative free"	FALSE	19515-0895-01	22-Jul-14	
348	19515	895	01	Flulaval Quadrivalent	INFLUENZA VIRUS VACCINE	ID Biomedical Corporation of Quebec	20130815	20140630		158	"influenza, injectable, quadrivalent"	FALSE	19515-0895-01	22-Jul-14	
349	21695	413	01	Tetanus and Diphtheria Toxoids Adsorbed	TETANUS AND DIPHTHERIA TOXOIDS ADSORBED	Rebel Distributors Corp.	19671013			09	"Td (adult), adsorbed"	FALSE	21695-0413-01	27-Jan-14	
350	33332	013	02	AFLURIA	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZA A"	CSL Limited	20110715	20140630		140	"Influenza, seasonal, injectable, preservative free"	FALSE	33332-0013-02	27-Jan-14	
351	33332	113	11	AFLURIA	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZA A"	CSL Limited	20110715	20140630		141	"Influenza, seasonal, injectable"	FALSE	33332-0113-11	27-Jan-14	
352	42515	001	00	IXIARO	"JAPANESE ENCEPHALITIS VACCINE, INACTIVATED, ADSORBED"	Intercell Biomedical Limited	20090330			134	Japanese Encephalitis IM	FALSE	42515-0001-00	27-Jan-14	
353	42874	012	01	Flublok	INFLUENZA VACCINE	Protein Sciences Corporation	20130201			155	"influenza, recombinant, injectable, preservative free"	FALSE	42874-0012-01	27-Jan-14	
354	46028	218	11	Meningococcal (Groups A) CRM197 Oligosaccharide Co	MENA VACCINE	Novartis Vaccines and Diagnostics s.r.l.	20100219			136	Meningococcal MCV4O	FALSE	46028-0218-11	27-Jan-14	
355	46028	219	11	"Meningococcal (Groups C, Y, W-135) CRM197 Oligosac"	"MENC, Y, W-135 VACCINE"	Novartis Vaccines and Diagnostics s.r.l.	20100219			136	Meningococcal MCV4O	FALSE	46028-0219-11	27-Jan-14	
356	49281	013	58	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130628	20140630		140	"Influenza, seasonal, injectable, preservative free"	FALSE	49281-0013-58	31-Mar-14	00349281013584
357	49281	013	88	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130628	20140630		140	"Influenza, seasonal, injectable, preservative free"	FALSE	49281-0013-88	31-Mar-14	00349281013881
358	49281	113	00	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130628	20140630		140	"Influenza, seasonal, injectable, preservative free"	FALSE	49281-0113-00	31-Mar-14	003492811130010
359	49281	225	58	DIPHTHERIA AND TETANUS TOXOIDS ADSORBED	CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED) AND CLOSTRIDIUM TETANI TOXOID	Sanofi Pasteur Inc.	20100329			28	DT (pediatric)	FALSE	49281-0225-58	31-Mar-14	00349281225581
360	49281	248	58	IMOVAX RABIES	RABIES VIRUS STRAIN PM-1503-3M ANTIGEN (PROPIOLACTONE INACTIVATED)	Sanofi Pasteur Inc.	20130930			18	"rabies, intramuscular injection"	FALSE	49281-0248-58	27-Jan-14	
361	49281	392	78	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130628	20140630		141	"Influenza, seasonal, injectable"	FALSE	49281-0392-78	31-Mar-14	00349281392788
362	49281	393	88	FLUZONE High-Dose	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130628	20140630		135	"Influenza, high dose seasonal"	FALSE	49281-0393-88	31-Mar-14	00349281393884
363	49281	400	58	Adacel	"CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED), CORYNEBACTERIUM DIPHTHERIAE TOXOID ANT"	Sanofi Pasteur Inc.	20131001			115	Tdap	FALSE	49281-0400-58	31-Mar-14	00349281400582
364	49281	400	88	Adacel	"CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED), CORYNEBACTERIUM DIPHTHERIAE TOXOID ANT"	Sanofi Pasteur Inc.	20131001			115	Tdap	FALSE	49281-0400-88	31-Mar-14	00349281400889
365	49281	413	58	FLUZONE QUADRIVALENT	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130610	20140630		150	"influenza, injectable, quadrivalent, preservative free"	FALSE	49281-0413-58	31-Mar-14	00349281413582
366	49281	413	88	FLUZONE QUADRIVALENT	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130610	20140630		150	"influenza, injectable, quadrivalent, preservative free"	FALSE	49281-0413-88	09-Oct-14	00349281413889
367	49281	513	00	FLUZONE QUADRIVALENT	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130610	20140630		161	"Influenza, injectable,quadrivalent, preservative free, pediatric"	FALSE	49281-0513-00	31-Mar-14	00349281513008
368	49281	545	15	ACTHIB	HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE)	Sanofi Pasteur Inc.	20080620			120	DTaP-Hib-IPV	FALSE	49281-0545-15	27-Jan-14	
369	49281	560	05	DTAP-IPV	"DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS ADSORBED, INACTIVATED POLIOVIRUS"	Sanofi Pasteur Inc.	20080620			120	DTaP-Hib-IPV	FALSE	49281-0560-05	09-Oct-14	00349281560057
370	49281	707	48	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20130628	20140630		144	"influenza, seasonal, intradermal, preservative free"	FALSE	49281-0707-48	05-Aug-14	00349281707483
372	51285	174	02	"Adenovirus Type 4 Vaccine, Live, Oral"	"ADENOVIRUS TYPE 4 VACCINE, LIVE, ORAL"	"Teva Women's Health, Inc."	20110531			143	Adenovirus types 4 and 7	FALSE	51285-0174-02	27-Jan-14	
373	51285	175	02	"Adenovirus Type 7 Vaccine, Live, Oral"	"ADENOVIRUS TYPE 7 VACCINE, LIVE, ORAL"	"Teva Women's Health, Inc."	20110531			143	Adenovirus types 4 and 7	FALSE	51285-0175-02	27-Jan-14	
374	54868	3339	9	PNEUMOVAX 23	PNEUMOCOCCAL VACCINE POLYVALENT	"PHYSICIANS TOTAL CARE, INC"	19940920	20090630		33	pneumococcal polysaccharide PPV23	FALSE	54868-3339-09	27-Jan-14	
375	54868	4320	9	PNEUMOVAX 23	PNEUMOCOCCAL VACCINE POLYVALENT	"PHYSICIANS TOTAL CARE, INC"	20060220	20110630		33	pneumococcal polysaccharide PPV23	FALSE	54868-4320-09	27-Jan-14	
376	58160	806	01	HIBERIX	HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE)	GlaxoSmithKline Biologicals SA	20090824			48	Hib (PRP-T)	FALSE	58160-0806-01	27-Jan-14	
377	58160	809	01	MENHIBRIX	MENINGOCOCCAL GROUPS C AND Y AND HAEMOPHILUS B TETANUS TOXOID CONJUGATE VACCINE	GlaxoSmithKline Biologicals SA	20130903			148	Meningococcal C/Y-HIB PRP	FALSE	58160-0809-01	31-Mar-14	00358160809019
378	58160	810	01	INFANRIX	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE ADSORBED	GlaxoSmithKline Biologicals SA	20090724			20	DTaP	FALSE	58160-0810-01	05-Jun-14	00358160810015
379	58160	810	43	INFANRIX	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE ADSORBED	GlaxoSmithKline Biologicals SA	20090724			20	DTaP	FALSE	58160-0810-43	05-Jun-14	00358160810435
380	58160	811	41	PEDIARIX	"DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS ADSORBED, HEPATITIS B (RECOMBINANT) AND INACT"	GlaxoSmithKline Biologicals SA	20090724			110	DTaP-Hep B-IPV	FALSE	58160-0811-41	13-Nov-14	
381	58160	811	43	PEDIARIX	"DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS ADSORBED, HEPATITIS B (RECOMBINANT) AND INACT"	GlaxoSmithKline Biologicals SA	20090724			110	DTaP-Hep B-IPV	FALSE	58160-0811-43	05-Jun-14	00358160811432
382	58160	812	01	KINRIX	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS ADSORBED AND INACTIVATED POLIOVIRUS VACCINE	GlaxoSmithKline Biologicals SA	20080709			130	DTaP-IPV	FALSE	58160-0812-01	31-Mar-14	00358160812019
383	58160	812	43	KINRIX	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS ADSORBED AND INACTIVATED POLIOVIRUS VACCINE	GlaxoSmithKline Biologicals SA	20080709			130	DTaP-IPV	FALSE	58160-0812-43	31-Mar-14	00358160812439
384	58160	815	01	TWINRIX	HEPATITIS A AND HEPATITIS B (RECOMBINANT) VACCINE	GlaxoSmithKline Biologicals SA	20070607			104	Hep A-Hep B	FALSE	58160-0815-01	31-Mar-14	003581608150110
385	58160	815	05	TWINRIX	HEPATITIS A AND HEPATITIS B (RECOMBINANT) VACCINE	GlaxoSmithKline Biologicals SA	20070607			104	Hep A-Hep B	FALSE	58160-0815-05	13-Nov-14	
386	58160	815	41	TWINRIX	HEPATITIS A AND HEPATITIS B (RECOMBINANT) VACCINE	GlaxoSmithKline Biologicals SA	20070607			104	Hep A-Hep B	FALSE	58160-0815-41	02-Oct-14	
387	58160	815	43	TWINRIX	HEPATITIS A AND HEPATITIS B (RECOMBINANT) VACCINE	GlaxoSmithKline Biologicals SA	20070607			104	Hep A-Hep B	FALSE	58160-0815-43	31-Mar-14	003581608154310
388	58160	820	01	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	GlaxoSmithKline Biologicals SA	20070425			08	"Hep B, adolescent or pediatric"	FALSE	58160-0820-01	31-Mar-14	00358160820014
389	58160	820	43	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	GlaxoSmithKline Biologicals SA	20070425			08	"Hep B, adolescent or pediatric"	FALSE	58160-0820-43	31-Mar-14	00358160820434
390	58160	821	01	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	GlaxoSmithKline Biologicals SA	20070328			43	"Hep B, adult"	FALSE	58160-0821-01	31-Mar-14	00358160821011
391	58160	821	05	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	GlaxoSmithKline Biologicals SA	20070328			43	"Hep B, adult"	FALSE	58160-0821-05	13-Nov-14	
392	58160	821	43	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	GlaxoSmithKline Biologicals SA	20070328			43	"Hep B, adult"	FALSE	58160-0821-43	31-Mar-14	00358160821431
393	58160	842	05	BOOSTRIX	"TETANUS TOXOID, REDUCED DIPHTHERIA TOXOID AND ACELLULAR PERTUSSIS VACCINE, ADSORBED"	GlaxoSmithKline Biologicals SA	20090724			115	Tdap	FALSE	58160-0842-05	31-Mar-14	
394	58160	842	41	BOOSTRIX	"TETANUS TOXOID, REDUCED DIPHTHERIA TOXOID AND ACELLULAR PERTUSSIS VACCINE, ADSORBED"	GlaxoSmithKline Biologicals SA	20090724			115	Tdap	FALSE	58160-0842-41	02-Oct-14	
395	58160	842	43	BOOSTRIX	"TETANUS TOXOID, REDUCED DIPHTHERIA TOXOID AND ACELLULAR PERTUSSIS VACCINE, ADSORBED"	GlaxoSmithKline Biologicals SA	20090724			115	Tdap	FALSE	58160-0842-43	31-Mar-14	00358160842436
396	58160	851	01	ROTARIX	"ROTAVIRUS VACCINE, LIVE, ORAL"	GlaxoSmithKline Biologicals SA	20110113			119	"rotavirus, monovalent"	FALSE	58160-0851-01	13-Nov-14	00358160851018
397	58160	879	41	FLUARIX	INFLUENZA VIRUS VACCINE	GlaxoSmithKline Biologicals SA	20120720	20130630		140	"Influenza, seasonal, injectable, preservative free"	FALSE	58160-0879-41	27-Jan-14	
398	58160	880	41	FLUARIX	INFLUENZA VIRUS VACCINE	GlaxoSmithKline Biologicals SA	20130701	20140630		140	"Influenza, seasonal, injectable, preservative free"	FALSE	58160-0880-41	13-Nov-14	
399	58160	900	41	FLUARIX QUADRIVALENT	INFLUENZA VIRUS VACCINE	GlaxoSmithKline Biologicals SA	20130701	20140630		150	"influenza, injectable, quadrivalent, preservative free"	FALSE	58160-0900-41	02-Oct-14	
400	63851	511	11	RabAvert	RABIES VACCINE	Novartis Vaccines and Diagnostics GmbH	19971020			18	"rabies, intramuscular injection"	FALSE	63851-0511-11	27-Jan-14	
401	63851	612	11	Flucelvax	"INFLUENZA A VIRUS A/BRISBANE/10/2010 (H1N1) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED),"	Novartis Vaccines and Diagnostics GmbH	20130830			153	"Influenza, injectable, MDCK, preservative free"	FALSE	63851-0612-11	27-Jan-14	
402	64678	211	05	BioThrax	BACILLUS ANTHRACIS	"Emergent BioDefense Operations Lansing, LLC"	19701104			24	anthrax	FALSE	64678-0211-05	27-Jan-14	
403	66019	108	01	FluMist	INFLUENZA VACCINE LIVE INTRANASAL	"MedImmune, LLC"	20100722	20110630		111	"influenza, live, intranasal"	FALSE	66019-0108-01	27-Jan-14	
404	66019	109	01	FluMist	INFLUENZA VACCINE LIVE INTRANASAL	"MedImmune, LLC"	20110630	20120719		111	"influenza, live, intranasal"	FALSE	66019-0109-01	27-Jan-14	
405	66019	110	01	FluMist	INFLUENZA VACCINE LIVE INTRANASAL	"MedImmune, LLC"	20120801	20130718		111	"influenza, live, intranasal"	FALSE	66019-0110-01	27-Jan-14	
406	66019	200	01	Influenza A H1N1 2009 Monovalent Vaccine Live Intr	INFLUENZA A H1N1 2009 MONOVALENT VACCINE LIVE INTRANASAL	"MedImmune, LLC"	20091001	20100413		125	"Novel Influenza-H1N1-09, nasal"	FALSE	66019-0200-01	27-Jan-14	
407	66019	300	01	FluMist Quadrivalent	INFLUENZA VACCINE LIVE INTRANASAL	"MedImmune, LLC"	20130715			149	"influenza, live, intranasal, quadrivalent"	FALSE	66019-0300-01	27-Jan-14	
410	33332	110	10	AFLURIA	INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)	CSL Limited	20100730	20110630		141	"Influenza, seasonal, injectable"	TRUE	33332-0110-10	27-Jan-14	
411	33332	010	01	AFLURIA	INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)	CSL Limited	20100730	20110630		140	"Influenza, seasonal, injectable, preservative free"	TRUE	33332-0010-01	27-Jan-14	
413	49281	286	58	DAPTACEL	"CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED), CLOSTRIDIUM TETANI TOXOID ANT"	Sanofi Pasteur Inc.	20020514			106	"DTaP, 5 pertussis antigens"	FALSE	49281-0286-58	01-Apr-14	00349281286582
416	49281	291	10	DECAVAC	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED) AND CORYNEBACTERIUM DIPHTHERIAE TOXOID	Sanofi Pasteur Inc.	20040324			113	Td (adult) preservative free	TRUE	49281-0291-10	27-Jan-14	
417	49281	291	83	DECAVAC	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED) AND CORYNEBACTERIUM DIPHTHERIAE TOXOID	Sanofi Pasteur Inc.	20040324			113	Td (adult) preservative free	TRUE	49281-0291-83	27-Jan-14	
418	49281	278	10	DIPHTHERIA AND TETANUS TOXOIDS ADSORBED	CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED) AND CLOSTRIDIUM TETANI TOXOID	Sanofi Pasteur Inc.	19840918	20130318		28	DT (pediatric)	TRUE	49281-0278-10	27-Jan-14	
419	54868	0734	0	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	"Physicians Total Care, Inc."	20020805	20120630		43	"Hep B, adult"	TRUE	54868-0734-00	27-Jan-14	
420	66521	112	10	FLUVIRIN	INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)	Novartis Vaccines and Diagnostics Ltd	19880812			141	"Influenza, seasonal, injectable"	TRUE	66521-0112-10	27-Jan-14	
421	66521	112	02	FLUVIRIN	INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-181 (H1N1) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED)	Novartis Vaccines and Diagnostics Ltd	19880812			140	"Influenza, seasonal, injectable, preservative free"	TRUE	66521-0112-02	27-Jan-14	
422	76420	482	01	FLUVIRIN	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009(H1N1)-LIKE HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED),"	Novartis Vaccines and Diagnostics Ltd	20110701			140	"Influenza, seasonal, injectable, preservative free"	TRUE	76420-0482-01	27-Jan-14	
423	49281	390	15	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20110701	20120630		141	"Influenza, seasonal, injectable"	TRUE	49281-0390-15	31-Mar-14	00349281390159
424	49281	388	15	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20110701	20120630		141	"Influenza, seasonal, injectable"	TRUE	49281-0388-15	31-Mar-14	00349281388156
425	49281	011	50	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20110701	20120630		140	"Influenza, seasonal, injectable, preservative free"	TRUE	49281-0011-50	31-Mar-14	00349281011504
426	49281	011	10	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20110701	20120630		140	"Influenza, seasonal, injectable, preservative free"	TRUE	49281-0011-10	31-Mar-14	00349281011108
427	49281	012	50	FLUZONE	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20120702	20130630		140	"Influenza, seasonal, injectable, preservative free"	TRUE	49281-0012-50	31-Mar-14	00349281012501
428	49281	391	65	FLUZONE High-Dose	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20110701	20120630		135	"Influenza, high dose seasonal"	TRUE	49281-0391-65	31-Mar-14	00349281391651
429	49281	389	65	FLUZONE High-Dose	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20120702	20130630		135	"Influenza, high dose seasonal"	TRUE	49281-0389-65	31-Mar-14	00349281389658
430	49281	703	55	FLUZONE Intradermal	"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A"	Sanofi Pasteur Inc.	20110701	20120630		144	"influenza, seasonal, intradermal, preservative free"	TRUE	49281-0703-55	31-Mar-14	00349281703553
432	76420	483	01	Fluvirin	"INFLUENZA A VIRUS A/CHRISTCHURCH/16/2010 NIB-74 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZ"	MedChem Manufacturing Inc. dba Enovachem	20120720			140	"Influenza, seasonal, injectable, preservative free"	TRUE	76420-0483-01	27-Jan-14	
433	66521	114	10	Fluvirin	"INFLUENZA A VIRUS A/CHRISTCHURCH/16/2010 NIB-74 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZ"	Novartis Vaccines and Diagnostics Limited	20120720			141	"Influenza, seasonal, injectable"	TRUE	66521-0114-10	27-Jan-14	
434	66521	113	10	Fluvirin	"INFLUENZA A VIRUS A/CHRISTCHURCH/16/2010 NIB-74 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZ"	Novartis Vaccines and Diagnostics Limited	20120720			141	"Influenza, seasonal, injectable"	TRUE	66521-0113-10	27-Jan-14	
435	66521	113	02	Fluvirin	Influenza Virus Vaccine	Novartis Vaccines and Diagnostics Ltd	19980812			140	"Influenza, seasonal, injectable, preservative free"	TRUE	66521-0113-02	27-Jan-14	
436	66521	115	10	Fluvirin	Influenza Virus Vaccine	Novartis Vaccines and Diagnostics Ltd	19980812			141	"Influenza, seasonal, injectable"	TRUE	66521-0115-10	12-Jan-15	
437	76420	470	10	Fluzone	"INFLUENZA A VIRUS A/CHRISTCHURCH/16/2010 NIB-74 (H1N1) ANTIGEN (PROPIOLACTONE INACTIVATED), INFLUENZ"	MedChem Manufacturing Inc. dba Enovachem	20130610	20140630		141	"Influenza, seasonal, injectable"	TRUE	76420-0470-10	27-Jan-14	
